title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
#블랙AF(#BlackAF)	2020	TV	청소년관람불가	['코미디']	['미국']	['라시다 존스', '케냐 배리스']	['케냐 배리스']		['넷플릭스']
살인자의 고백(The Confession Killer)	2019	TV	15세이상관람가	['범죄', '다큐멘터리']	['미국']	['밥 프린스', '난 쿠바']	['로버트 컨너']		['넷플릭스']
인투 더 배드랜즈 시즌 1(Into the Badlands)	2015	TV	15세이상관람가	['액션', '어드벤처(모험)']	['미국']	['오언조', '올라 브러디', '에밀리 비샴', '아라미스 나이트', '앨리 이오아니데스', '닉 프로스트']	['알프레드 고', '마일즈 밀러']		['웨이브', '티빙', '왓챠', '아마존 프라임 비디오']
시크릿 위치 시즌 1(Always a Witch)	2019	TV	15세이상관람가	['드라마', '판타지']	['콜롬비아']	['앤젤리 가비리아', '오스카 카사스', '소피아 아라우호']	['아나 마리아 파라']		['넷플릭스']
아틀리에(Atelier)	2015	TV	12세이상관람가	['드라마', '코미디']	['일본']	['다이치 마오', '키리타니 미레이', '사카이 와카나 ']	['세키구치 다이스케']		['넷플릭스']
죽음의 흔적 시즌 2(Signs)	2020	TV	청소년관람불가	['스릴러', '범죄']	['폴란드']	['안드레 코노프카', '헬레나 수예츠카', '피오트르 트로얀']	['제이콥 미즈작', '모니카 필리포위즈']		['넷플릭스']
스크림 시즌 2(Scream)	2016	TV	청소년관람불가	['스릴러', '공포(호러)']	['미국']	['윌라 피츠제럴드', '벡스 테일러 클라우스 ', '존 카르나', '칼슨 영', '트레이시 미든도프']	['제이 비티', '질 E. 브로테보겔', '댄 도킨']		['넷플릭스']
릴리해머 시즌3(Lilyhammer)	2014	TV	청소년관람불가	['드라마', '코미디', '범죄']	['미국', '노르웨이']	['스티븐 밴잰트']	['에이프 스코드빈', '앤 비에른스타']		['넷플릭스']
스타트렉 시즌 1(Star Trek)	1966	TV	12세이상관람가	['드라마', '어드벤처(모험)', 'SF']	['미국']	['레너드 니모이', '윌리암 샤트너', '드포레스트 켈리', '니셸 니컬스', '제임스 두언']	['마크 다니엘스', '진 로든베리']		['넷플릭스']
닥터 마틴 시즌 9(Doc Martin)	2019	TV	15세이상관람가	['드라마', '코미디']	['영국']	['마틴 클룬즈', '캐롤라인 캣츠', '이안 맥네이스 ']	['도미닉 밍겔라']		['넷플릭스']
