title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
하녀(The Housemaid)	2010	movie	청소년관람불가	['스릴러']	['한국']	['전도연', '이정재', '윤여정', '서우', '박지영', '안서현', '황정민']	['임상수']	106	['웨이브', '쿠팡플레이']
킹덤: 아신전(Kingdom)	2021	TV	청소년관람불가	['드라마']	['한국']	['전지현', '박병은', '김시아', '김뢰하', '구교환']	['김성훈']		['넷플릭스']
아무도 모른다(Nobody Knows)	2004	movie	전체관람가	['드라마']	['일본']	['야기라 유야', '키타우라 아유', '키무라 히에이', '시미즈 모모코', '칸 하나에', '유', '쿠시다 카즈미']	['고레에다 히로카즈']	140	['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이']
낙원의 밤(Night in Paradise)	2021	movie	청소년관람불가	['범죄']	['한국']	['엄태구', '전여빈', '차승원', '이기영', '박호산', '이문식']	['박훈정']	131	['넷플릭스']
007 퀀텀 오브 솔러스(Quantum Of Solace)	2008	movie	15세이상관람가	['액션', '어드벤처(모험)']	['미국']	['다니엘 크레이그', '올가 쿠릴렌코', '마티유 아말릭', '주디 덴치 ', '지안카를로 지아니니', '조아킨 코시오', '스타나 카틱']	['마크 포스터']	106	['웨이브', '티빙', '왓챠', '쿠팡플레이']
항거:유관순 이야기(A Resistance)	2019	movie	12세이상관람가	['드라마']	['한국']	['고아성', '김새벽', '김예은', '정하담', '류경수', '김남진', '김지성']	['조민호']	105	['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', 'seezn']
공공의 적(Public Enemy)	2002	movie	청소년관람불가	['액션']	['한국']	['설경구', '이성재', '강신일', '김정학', '도용구', '안내상', '이문식']	['강우석']	135	['넷플릭스', '티빙']
인디아나 존스 : 최후의 성전(Indiana Jones And The Last Crusade)	1989	movie	12세이상관람가	['액션', '어드벤처(모험)']	['미국']	['해리슨 포드 ', '덴홈 엘리어트', '앨리슨 두디', '존 라이스 데이비스 ', '줄리안 글로버', '리버 피닉스', '숀 코네리']	['스티븐 스필버그']	127	['아마존 프라임 비디오']
이지 A(Easy A)	2010	movie	15세이상관람가	['드라마', '코미디', '멜로/로맨스']	['미국']	['엠마 스톤', '아만다 바인즈', '캠 지갠뎃', '스탠리 투치', '펜 바드글리 ', '리사 쿠드로 ', '말콤 맥도웰 ']	['윌 글럭']	92	['웨이브', '왓챠', '쿠팡플레이']
인디아나 존스(Indiana Jones And The Temple Of Doom)	1984	movie	12세이상관람가	['액션', '어드벤처(모험)', '판타지']	['미국']	['해리슨 포드 ', '케이트 캡쇼', '키 호이 콴', '암리쉬 푸리', '로산 세스', '필립 스톤', '교굉']	['스티븐 스필버그']	118	['아마존 프라임 비디오']
28주 후(28 Weeks Later)	2007	movie	청소년관람불가	['스릴러', '공포(호러)', 'SF']	['영국']	['로버트 칼라일', '로즈 번 ', '제레미 레너', '해롤드 페리뉴 ', '캐서린 맥코맥', '맥킨토시 머글턴', '이모겐 푸츠']	['후안 카를로스 프레스나딜로']	99	['디즈니+']
가디언즈(Rise of the Guardians)	2012	movie	전체관람가	['어드벤처(모험)', '애니메이션']	['미국']	['크리스 파인', '알렉 볼드윈 ', '주드 로 ', '아일라 피셔 ', '휴 잭맨 ', '다코타 고요', '양세나']	['피터 램지']	97	['넷플릭스', '웨이브', '왓챠']
