title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
멜로홀릭(Meloholic)	2017	TV		['드라마']	['한국', '미정']	['유노윤호', '경수진', '한주완', '최대철', '한재석', '고민시', '이유준']	['송현욱']		['웨이브', '티빙']
맨홀: 이상한 나라의 필(Manhole)	2017	TV	15세이상관람가	['드라마', '멜로/로맨스']	['한국']	['김재중', '유이', '정혜성', '차선우', '이상이', '강홍석']	['유영은', '박만영']		['웨이브', '왓챠']
나인룸(Room No.9)	2018	TV	15세이상관람가	['드라마']	['한국']	['김희선', '김영광', '김해숙', '오대환', '이경영', '정제원', '김재화']	['지영수']		['티빙']
스케치(Sketch)	2018	TV	15세이상관람가	['드라마']	['한국']	['정지훈', '이동건', '이선빈', '정진영', '강신일', '임화영']	['임태우']		['티빙', 'seezn']
달리는 조사관(The Running Mates)	2019	TV	15세이상관람가	['드라마']	['한국']	['이요원', '최귀화', '장현성', '오미희', '김주영', '이주우', '심지호']	['김용수']		['티빙']
귀피를 흘리는 여자()	2019	TV	15세이상관람가	['드라마']	['한국']	['강한나', '김광규', '장원영', '김주령', '손민지', '손산', '손우현']	['이승훈']		['티빙']
인랑게임(The Werewolf Game: Crazy Fox)	2018	movie	15세이상관람가	['스릴러']	['일본']	['타카츠키 사라', '토미테 아미', '마사키 레이야']	['아야베 마야']	97	['웨이브', '티빙', '왓챠']
카디널 시즌 2(Cardinal)	2018	TV	청소년관람불가	['드라마', '미스터리', '범죄']	['캐나다']	['빌리 캠벨', '카린 바나스 ', '크리스틴 톰슨', '글렌 굴드']	['다니엘 그로우']		['티빙']
엽문 리부트 2020(Ip Man: Kung Fu Master)	2019	movie	12세이상관람가	['액션']	['중국']	['두우항', '원립약심', '왕민덕']	['이입명']	84	['티빙', '왓챠']
페니 드레드풀 시즌 2(Penny Dreadful)	2015	TV	청소년관람불가	['드라마', '공포(호러)', '판타지']	['미국', '영국', '아일랜드']	['조쉬 하트넷', '티모시 달튼 ', '에바 그린', '리브 카니', '로리 키니어', '빌리 파이퍼']	['데이먼 토머스', '제임스 하웨스']		['웨이브', '왓챠']
신유성호접검(Butterfly & Sword)	1993	movie	15세이상관람가	['액션', '어드벤처(모험)', '판타지']	['홍콩']	[]	['맥당걸']	88	['웨이브', '티빙', '왓챠']
막돼먹은 영애씨 11()	2012	TV	15세이상관람가	['드라마']	['한국']	['김현숙', '김산호', '송민형', '김정하', '유형관', '윤서현']	['박준화', '한상재']		['티빙']
에토스(Bir Baskadir)	2020	TV	청소년관람불가	['드라마', '스릴러']	['터키']	['외즈게 외젤']	['베르쿤 오야']		['넷플릭스']
디 아워 시즌 2(The Hour)	2012	TV	15세이상관람가	['드라마']	['영국']	['로몰라 가레이', '벤 위쇼', '도미닉 웨스트 ', '안나 챈셀러', '조슈아 맥과이어', '우나 채플린']	['제이미 페인']		['왓챠']
용왕직전연상니(Shall We Fall In Love)	2018	TV	15세이상관람가	['드라마']	['중국']	['닉쿤', '이목신']	[]		['웨이브', '티빙', '왓챠']
여상육정()	2013	TV	15세이상관람가	['드라마']	['중국']	['조려영', '천샤오', '교임량', '양룽', '당예흔']	['이혜주', '등위은']		['티빙']
연애조작단; 시라노(Dating Agency: Cyrano)	2013	TV	15세이상관람가	['드라마', '코미디', '멜로/로맨스']	['한국']	['이종혁', '수영', '이천희', '홍종현', '조윤우']	[]		['티빙']
연애 강요하는 사회(Society obsessed love)	2018	TV		['드라마', '멜로/로맨스']	['한국', '미정']	['김소혜', '김영재']	['고재홍']		['티빙']
칠전팔기 구해라()	2015	TV	전체관람가	['드라마']	['한국']	['민효린', '곽시양', '진영', '헨리', '박광선', '유성은']	['김용범', '안준영']		['티빙']
찐경규()	2020	TV		['예능']	['한국', '미정']	['이경규', '권해봄']	['오윤환']		['왓챠']
사조영웅전 2008()	2008	TV	15세이상관람가	['드라마', '액션', '서사']	['중국']	['호가 ', '임의신', '원홍', '류시시 ']	['이국립']		['웨이브', '티빙', '왓챠']
프로젝트 블루북 시즌 2(Project Blue Book)	2020	TV	15세이상관람가	['드라마', '스릴러', '미스터리']	['미국']	['에이단 길렌 ', '마이클 말라키', '로라 메넬', '세니아 솔로', '닐 맥도프', '마이클 하니']	['노마 베일리', '피트 트레비스']		['웨이브', '티빙', '왓챠']
무장소녀 마키아벨리즘(ARMED GIRL'S MACHIAVELLISM)	2017	TV	청소년관람불가	['애니메이션']	['일본']	[]	['타치바나 히데키']		['웨이브', '티빙', '라프텔']
악마는 정남이를 입는다()	2020	TV	15세이상관람가	['예능']	['한국']	['배정남', '조재윤']	['나영석', '장은정']		['티빙']
고등래퍼 3()	2019	TV	15세이상관람가	['예능']	['한국']	['넉살', '더 콰이엇', '코드 쿤스트', '기리보이', 'Kid Milli', '규정', '휘민', '행주']	[]		['티빙']
마도조사 2기()	2020	TV	15세이상관람가	['애니메이션']	['중국']	[]	['슝커']		['라프텔 (자막)', '라프텔 (더빙)']
장르만 코미디()	2020	TV	15세이상관람가	['예능']	['한국']	['오만석', '김준호', '유세윤', '안영미', '권재관', '김준현', '허경환']	[]		['티빙']
뭉쳐야 찬다()	2019	TV	15세이상관람가	['예능']	['한국']	['안정환', '김용만', '김성주', '정형돈']	['성치경']		['티빙']
러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회()	2020	TV	15세이상관람가	['애니메이션']	['일본']	[]	['카와무라 토모유키']		['웨이브', '티빙', '왓챠', '라프텔']
쵸비츠()	2003	TV	15세이상관람가	['애니메이션']	['일본']	[]	['아사카 모리오']		['웨이브', '왓챠', '라프텔']
비포 썸 라이즈()	2019	TV	15세이상관람가	['예능']	['한국']	[]	[]		['웨이브', '티빙', '왓챠']
해골 서점직원 혼다 씨()	2018	TV	15세이상관람가	['애니메이션']	['일본']	[]	['토도로키 오우루']		['라프텔']
유루캠△ 2기(Laid-Back Camp)	2021	TV	12세이상관람가	['애니메이션']	['일본']	[]	['쿄고쿠 요시아키']		['티빙', '왓챠', '라프텔']
마법소녀 나()	2018	TV	15세이상관람가	['애니메이션']	['일본']	[]	['카와사키 이츠로']		['티빙', '왓챠', '라프텔', '라프텔 (무삭제)', '라프텔']
아이돌 마스터(THE IDOLM@STER)	2011	TV	15세이상관람가	['애니메이션']	['일본']	[]	['니시고리 아츠시']		['넷플릭스', '왓챠', '라프텔']
서인영의 카이스트()	2008	TV	15세이상관람가	['예능']	['한국']	['서인영']	[]		['티빙']
오와리모노가타리()	2015	TV	청소년관람불가	['애니메이션']	['일본']	[]	['이타무라 토모유키']		['티빙']
날아라 슈퍼보드 2기()	1991	TV	전체관람가	['애니메이션']	['한국']	[]	[]		['왓챠']
뿌까()	2018	TV	전체관람가	['애니메이션']	['한국']	[]	[]		['넷플릭스', '티빙']
검왕조(Sword Dynasty Fantasy Masterwork)	2019	TV	15세이상관람가	['드라마']	['중국']	['이현', '이일동']	[]		['웨이브', '티빙', '왓챠']
천지창조 디자인부()	2021	TV	15세이상관람가	['애니메이션']	['일본']	[]	['마스이 소이치']		['티빙', '왓챠', '라프텔']
천방지축 하니()	1989	TV	전체관람가	['애니메이션']	['한국']	[]	[]		['왓챠']
팍스 앤 레크리에이션 시즌 5(Parks and Recreation)	2012	TV	15세이상관람가	['코미디']	['미국']	['에이미 포엘러 ', '닉 오퍼맨', '오브리 플라자', '크리스 프랫 ', '아지즈 안사리', '짐 오헤어', '레타']	['딘 홀랜드']		['웨이브']
팍스 앤 레크리에이션 시즌 6(Parks and Recreation)	2013	TV	15세이상관람가	['코미디']	['미국']	['에이미 포엘러 ', '닉 오퍼맨', '오브리 플라자', '크리스 프랫 ', '아지즈 안사리', '짐 오헤어', '레타']	['딘 홀랜드']		['웨이브']
천상의 약속()	2016	TV	15세이상관람가	['드라마']	['한국']	[]	[]		['웨이브']
무동건곤 : 영웅출소년()	2018	TV	15세이상관람가	['드라마', '액션', '어드벤처(모험)']	['중국']	[]	[]		['웨이브', '티빙', '왓챠']
용의 눈물()	1996	TV	15세이상관람가	['드라마']	['한국']	[]	[]		['웨이브']
라이 투 미 시즌 2(Lie to Me)	2009	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['미국']	[]	[]		['디즈니+']
촉산전기 2()	2018	TV	15세이상관람가	['드라마', '액션', '판타지']	['중국']	[]	[]		['웨이브', '티빙', '왓챠']
인데버 시즌 3(Endeavour)	2016	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['영국']	[]	[]		['웨이브', '티빙', '왓챠', '쿠팡플레이']
인데버 시즌 4(Endeavour)	2017	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['영국']	[]	[]		['웨이브', '티빙', '왓챠', '쿠팡플레이']
오로라 공주()	2013	TV	15세이상관람가	['드라마']	['한국']	[]	[]		['웨이브']
남자가 사랑할 때(When a Man Falls in Love)	2013	TV	15세이상관람가	['드라마', '멜로/로맨스']	['한국']	['송승헌', '신세경', '채정안', '연우진']	[]		['웨이브']
그 시절, 너의 뒤를 쫓았다(Those Years, We Went After You)	2018	movie	12세이상관람가	['멜로/로맨스']	['일본']	['야마다 유키', '사이토 아스카', '마츠모토 호노카', '사쿠모토 타카라']	['하세가와 야스오']	114	['웨이브', '티빙', '왓챠']
심슨 가족 시즌 6(The Simpsons)	1994	TV	15세이상관람가	['코미디', '애니메이션']	['미국']	[]	[]		['디즈니+']
심슨 가족 시즌 7(The Simpsons)	1995	TV	15세이상관람가	['코미디', '애니메이션']	['미국']	[]	[]		['디즈니+']
심슨 가족 시즌 9(The Simpsons)	1997	TV	15세이상관람가	['코미디', '애니메이션']	['미국']	[]	[]		['디즈니+']
심슨 가족 시즌 12(The Simpsons)	2000	TV	15세이상관람가	['코미디', '애니메이션']	['미국']	[]	[]		['디즈니+']
슈거 러시: 달콤한 레이스 시즌 3(Sugar Rush Season 3)	2020	TV	12세이상관람가	['예능']	['미국']	[]	[]		['넷플릭스']
어그레시브 레츠코 시즌 2()	2019	TV	15세이상관람가	['코미디', '애니메이션']	['일본']	[]	[]		['넷플릭스']
