title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
정글(Jungle)	2017	movie	15세이상관람가	['드라마', '액션', '스릴러', '어드벤처(모험)']	['호주', '콜롬비아']	['다니엘 래드클리프', '토마스 크레취만', '알렉스 러셀 ', '조엘 잭슨', '릴리 설리반', '야스민 카심', '야첵 코먼']	['그렉 맥린']	115	['웨이브', '티빙', '왓챠']
빈폴(Beanpole)	2019	movie	15세이상관람가	['드라마']	['러시아']	['빅토리아 미로시니첸코', '바실리사 페렐리지나', '콘스탄틴 발라키레프', '이고르 시로코프', '크세니야 쿠테포바', '티모시 그라스코프', '올가 드라구노바']	['칸테미르 발라고프']	120	['웨이브', '티빙', '왓챠']
S 다이어리(S Diary)	2004	movie	15세이상관람가	['코미디']	['한국']	['김선아']	['권종관']	104	['웨이브']
라플라스의 마녀(Laplace's Witch)	2018	movie	12세이상관람가	['스릴러', '미스터리']	['일본']	['사쿠라이 쇼', '히로세 스즈', '후쿠시 소우타', '타마키 히로시', '릴리 프랭키', '타오 오카모토 ', '토요카와 에츠시']	['미이케 다카시']	115	['넷플릭스', '웨이브', '티빙', '왓챠']
마 레이니, 그녀가 블루스(Ma Rainey's Black Bottom)	2020	movie	15세이상관람가	['드라마', '음악']	['미국']	['비올라 데이비스', '채드윅 보스만', '글린 터먼', '콜맨 도밍고', '마이클 팟츠', '테일러 페이지']	['조지 C. 울프']	93	['넷플릭스']
내일 지구가 망해버렸으면 좋겠어(So Not Worth It)	2021	TV	15세이상관람가	['드라마']	['한국']	['박세완', '신현승', '민니', '영재', '한현민', '테리스 브라운']	['권익준', '김정식']		['넷플릭스']
에이전트 오브 쉴드 시즌 1(Agents of S.H.I.E.L.D.)	2013	TV	15세이상관람가	['드라마', '액션', '어드벤처(모험)']	['미국']	['클락 그레그 ', '브렛 돌턴', '밍나 웬', '클로이 베넷', '이언 디캐스트커']	['조스 웨던', '제드 웨던', '모리사 탠처론']		['디즈니+']
식스센스()	2020	TV	15세이상관람가	['예능']	['한국']	['유재석', '오나라', '전소민', '제시', '이미주']	['정철민']		['티빙']
달리와  감자탕(Dali and the Cocky Prince)	2021	TV	15세이상관람가	['드라마']	['한국']	['김민재', '박규영', '권율', '황희', '연우', '장광', '우희진']	['이정섭']		['웨이브', '쿠팡플레이']
여우 각시별(Where Stars Land)	2018	TV	15세이상관람가	['드라마']	['한국']	['이제훈', '채수빈', '이동건', '김지수', '김경남', '이수경', '로운']	['신우철']		['웨이브']
슬기로운 캠핑생활()	2021	TV	15세이상관람가	['예능']	['한국']	['조정석', '전미도', '정경호', '유연석', '김대명']	[]		['티빙']
고백(Go Back)	2020	movie	15세이상관람가	['드라마']	['한국']	['박하선', '하윤경', '감소현', '서영화', '정은표', '김평조', '황리한']	['서은영']	99	['티빙']
어둔 밤(Behind the Dark Night)	2017	movie	15세이상관람가	['코미디', '액션']	['한국']	['송의성', '이요셉', '심정용', '오수경', '김상훈', '이재원']	['심찬양']	117	['웨이브', '티빙', '왓챠', 'seezn']
진범(The Culprit)	2018	movie	15세이상관람가	['스릴러']	['한국']	['송새벽', '유선', '장혁진', '정해균', '오민석', '한수연', '정희태']	['고정욱']	100	['티빙', '왓챠']
