title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
크리미널 마인드 시즌 6(Criminal Minds)	2010	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['미국', '캐나다']	['매튜 그레이 구블러', '커스틴 뱅스니스', 'A.J.쿡', '조 맨테그나', ' 토마스 깁슨', '쉐마 무어']	['글렌 커쇼', '펠릭스 엔리퀘즈 알카라']		['디즈니+']
아홉수 소년(Plus Nine Boys)	2014	TV	15세이상관람가	['드라마']	['한국']	['최로운', '육성재', '김영광', '오정세', '이채미', '김미경', '박초롱']	['유학찬']		['티빙']
내 이야기!!()	2015	TV	12세이상관람가	['애니메이션']	['일본']	[]	['아사카 모리오']		['웨이브 (자막)', '웨이브 (더빙)', '왓챠', '라프텔 (더빙)', '라프텔 (자막)']
슈퍼 미(Super Me)	2020	movie	15세이상관람가	['어드벤처(모험)', '판타지']	['중국']	['왕대륙 ', '송가', '조병곤', '오강', '금연령', '금사걸', '왕쯔이 ']	['장충']	103	['넷플릭스']
원헌드레드 시즌 6(The 100)	2019	TV	15세이상관람가	['드라마', '미스터리', 'SF']	['미국']	['엘리자 테일러', '마리 아브게로폴로스', '보비 몰리', '린지 모건', '리처드 하몬', '페이지 터코 ', '헨리 이안 쿠식']	['제이슨 로텐버그']		['넷플릭스']
코드 기어스: 반역의 를르슈 2기()	2008	TV	청소년관람불가	['애니메이션']	['일본']	[]	['타니구치 고로']		['넷플릭스']
러브 라이브! School idol project 1기()	2013	TV	15세이상관람가	['애니메이션']	['일본']	[]	['쿄고쿠 타카히코']		['넷플릭스', '왓챠', '라프텔']
그레이트 프리텐더(GREAT PRETENDER)	2020	TV	청소년관람불가	['애니메이션']	['일본']	[]	['카부라기 히로']		['넷플릭스']
사랑하는 작고 예쁜 것들(Tiny Pretty Things)	2020	TV	청소년관람불가	['드라마', '미스터리']	['미국']	['숀 벤슨', '브레넌 클로스트', '로렌 홀리', '카일리 제퍼슨']	['사미르 레헴']		['넷플릭스']
1호가 될 순 없어(Number 1)	2020	TV	15세이상관람가	['예능']	['한국']	['박미선', '장도연', '팽현숙', '최양락', '김지혜', '박준형', '이은형']	['성치경']		['넷플릭스', '티빙', 'seezn']
슬레이어즈(Slayers)	1995	TV	15세이상관람가	['애니메이션']	['일본']	[]	['와타나베 타카시']		['웨이브', '티빙', '왓챠', '라프텔']
