title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
허스(Hers)	2007	movie	청소년관람불가	['드라마', '멜로/로맨스']	['한국']	[]	['김정중']	100	['왓챠']
트리거해피(Mad Dog Time)	1996	movie	청소년관람불가	['드라마', '코미디', '범죄']	['미국']	[]	['래리 비숍']	92	['웨이브', 'seezn']
인코그니토(Incognito)	1997	movie	청소년관람불가	['스릴러', '범죄']	['미국']	['제이슨 패트릭', '이렌느 야곱']	['존 바담']	108	['웨이브', '왓챠']
더 시크릿(The Secret)	2007	movie	15세이상관람가	['멜로/로맨스', '스릴러', '미스터리']	['프랑스']	['릴리 테일러', '데이비드 듀코브니', '올리비아 썰비 ']	['벵상 뻬레']	92	['웨이브', '왓챠']
토끼를 태운 잠수함(The Submarine With A Rabbit Aboard)	1991	movie	15세이상관람가	['드라마']	['한국']	[]	['김한성']	102	['웨이브']
아편 전쟁(The Opium War)	1997	movie	전체관람가	['드라마', '액션', '전쟁']	['중국']	['포국안', '임련곤', '랑웅', '소흔']	['셰진']	130	['웨이브']
보딩 게이트(Boarding Gate)	2007	movie	청소년관람불가	['액션', '스릴러']	['프랑스']	['아시아 아르젠토', '마이클 매드슨', '오가룡']	['올리비에 아사야스']	106	['웨이브', '티빙', '왓챠']
대정전의 밤에(Until The Lights Come Back)	2005	movie	전체관람가	['드라마']	['일본']	['토요카와 에츠시', '타구치 토모로오 ']	['미나모토 다카시']	131	['티빙', '왓챠']
신투차세대(Skyline Cruisers)	2000	movie	15세이상관람가	['액션']	['홍콩']	[]	['엽위신']	90	['웨이브', '왓챠']
용병 이반(Ivan The Mercenary)	1996	movie	청소년관람불가	['액션']	['한국']	[]	['이현석']	100	['티빙', '왓챠']
특별시 사람들(Where Are You Going?)	2009	movie	15세이상관람가	['드라마']	['한국']	['조한선', '유민 ']	['박철웅']	110	['넷플릭스', '티빙', '왓챠']
로빈슨 가족(Swiss Family Robinson)	1960	movie	12세이상관람가	['어드벤처(모험)', '가족']	['미국']	[]	['켄 아나킨']	126	['디즈니+']
어둠의 부활(The Resurrected)	1991	movie	청소년관람불가	['공포(호러)', 'SF']	['미국']	['존 테리', '제인 시벳', '크리스 서랜던 ']	['댄 오배넌']	108	['웨이브', '왓챠']
머나먼 여정 2(Homeward Bound II : Lost In San Francisco)	1996	movie	전체관람가	['코미디']	['미국']	[]	['데이비드 R. 엘리스']	89	['디즈니+']
네온 바이블(The Neon Bible)	1995	movie	15세이상관람가	['드라마']	['영국']	[]	['테렌스 데이비스']	92	['seezn']
글렌 굴드에 대한 32개의 이야기(32 Short Films about Glenn Gould)	1993	movie		['드라마']	['캐나다', '미정']	['콜므 포어 ']	['프랑소와 지라르 ']	93	['seezn']
데몬스 2(Demons 2: The Nightmare Is Back)	1986	movie	청소년관람불가	['액션', '공포(호러)', '판타지']	['이탈리아']	[]	['람베르토 바바']	91	['웨이브', '왓챠']
소펠 부인(Mrs. Soffel)	1984	movie	청소년관람불가	['드라마', '멜로/로맨스']	['미국']	['다이안 키튼', '멜 깁슨']	['질리안 암스트롱']	110	['웨이브', '왓챠']
늪지의 괴물(Swamp Thing)	1982	movie	전체관람가	['공포(호러)', 'SF']	['미국']	[]	['웨스 크레이븐']	91	['웨이브', '왓챠']
요크 상사(Sergeant York)	1941	movie	15세이상관람가	['드라마', '액션']	['미국']	['게리 쿠퍼 ']	['하워드 혹스']	134	['웨이브', 'seezn']
마이 튜터(My Tutor)	1983	movie	청소년관람불가	['드라마', '코미디']	['미국']	[]	['조지 보월즈']	97	['웨이브', '티빙', '왓챠']
배트 21(Bat 21)	1988	movie	청소년관람불가	['드라마', '전쟁']	['미국']	['진 핵크만', '대니 글로버', '제리 리드', '데이빗 마샬 그랜트', '클레이턴 로너', '에리치 앤더슨', '조 돌시']	['피터 마클']	104	['웨이브', '왓챠']
세번은 짧게 세번은 길게(Three Times Each For Short And Long Ways)	1981	movie	청소년관람불가	['드라마', '멜로/로맨스']	['한국']	[]	['김호선']	140	['티빙', '왓챠']
애마부인 4(Madame Emma 4)	1990	movie	청소년관람불가	['멜로/로맨스']	['한국']	[]	['석도원']	96	['왓챠']
오염된 자식들(Polluted Ones)	1982	movie	청소년관람불가	['드라마', '멜로/로맨스']	['한국']	['안성기', '방희']	['임권택']	102	['웨이브']
프락치(Spying Cam)	2004	movie	15세이상관람가	['드라마']	['한국']	[]	['황철민']	95	['웨이브']
화중선(Picture Of A Nymph)	1988	movie		['코미디', '어드벤처(모험)', '판타지']	['홍콩', '미정']	['원표', '왕조현', '우마', '오계화 ']	['우마']	96	['웨이브', '왓챠']
황가여장(She Shoots Straight)	1990	movie		['액션', '범죄']	['홍콩', '미정']	['홍금보 ', '양가휘', '유가령 ']	['원규']	87	['웨이브', '왓챠']
시리아의 비가(悲歌): 들리지 않는 노래(Cries from Syria)	2017	movie	15세이상관람가	['다큐멘터리']	['미국']	[]	['이브게니 아피네예브스키']	111	['왓챠']
고향이 어디세요(Where is Your Hometown)	2017	movie	12세이상관람가	['다큐멘터리']	['한국']	[]	['정수웅']	78	['웨이브', '티빙', '왓챠']
무서운 꿈(Slumber)	2017	movie	15세이상관람가	['미스터리', '공포(호러)']	['미국', '영국']	['매기 큐 ']	['조나단 홉킨스']	85	['웨이브', '티빙', 'seezn']
액츠 오브 바이올런스(Acts of Violence)	2018	movie	청소년관람불가	['드라마', '액션']	['미국', '영국']	[]	['브렛 도노후']	86	['티빙', '왓챠']
쿵푸 몽키(Monkey King Reloaded)	2017	movie	전체관람가	['어드벤처(모험)', '애니메이션']	['중국', '홍콩']	[]	['폴 왕']	76	['웨이브', '티빙', '왓챠']
