img_url	title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
별에서_온_그대_MyLoveFromtheStar.jpg	별에서 온 그대(My Love From the Star)	2013	TV	15세이상관람가	['드라마', '코미디', '판타지', 'SF']	['한국']	['전지현', '김수현', '박해진', '유인나', '신성록', '나영희', '엄효섭']	['장태유']		['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', 'seezn']
슈렉_2_Shrek2.jpg	슈렉 2(Shrek 2)	2004	movie	전체관람가	['코미디', '가족', '판타지', '애니메이션']	['미국']	['마이크 마이어스 ', '에디 머피 ', '카메론 디아즈 ', '줄리 앤드류스', '안토니오 반데라스']	['켈리 애스버리', '앤드류 아담슨', '콘래드 버논']	92	['넷플릭스', '웨이브']
결혼_이야기_MarriageStory.jpg	결혼 이야기(Marriage Story)	2019	movie	15세이상관람가	['드라마']	['미국']	['스칼릿 조핸슨', '아담 드라이버 ', '로라 던', '알란 알다', '레이 리오타', '아지 로버트슨', '줄리 하거티']	['노아 바움백']	135	['넷플릭스']
엑스맨_XMen.jpg	엑스맨(X-Men)	2000	movie	12세이상관람가	['액션', 'SF']	['미국']	['패트릭 스튜어트', '휴 잭맨 ', '이안 맥켈런', '할리 베리', '팜케 얀센 ', '제임스 마스던', '브루스 데이비슨']	['브라이언 싱어']	97	['디즈니+']
헤이트풀8_TheHatefulEight.jpg	헤이트풀8(The Hateful Eight)	2015	movie	청소년관람불가	['액션', '스릴러', '서부극(웨스턴)']	['미국']	['사무엘 L. 잭슨', '커트 러셀', '제니퍼 제이슨 리', '월튼 고긴스', '데미안 비쉬어', '팀 로스', '마이클 매드슨']	['쿠엔틴 타란티노']	168	['넷플릭스', '티빙', '왓챠', 'seezn']
호빗__스마우그의_폐허_TheHobbitTheDesolationofSmaug.jpg	호빗 : 스마우그의 폐허(The Hobbit: The Desolation of Smaug)	2013	movie	12세이상관람가	['드라마', '어드벤처(모험)', '판타지']	['미국', '뉴질랜드']	['마틴 프리먼 ', '이안 맥켈런', '리처드 아미티지', '케이트 블란쳇 ', '올랜도 블룸 ', '크리스토퍼 리 ', '앤디 서키스']	['피터 잭슨']	161	['웨이브', '티빙', '왓챠', '쿠팡플레이']
퓨리_Fury.jpg	퓨리(Fury)	2014	movie	15세이상관람가	['드라마', '액션', '전쟁']	['미국', '영국', '중국']	['브래드 피트 ', '로건 레먼', '샤이아 라보프 ', '마이클 페나 ', '존 번탈', '스콧 이스트우드 ', '자비에르 사무엘 ']	['데이비드 에이어']	134	['넷플릭스', '왓챠', '쿠팡플레이']
대부_2_TheGodfatherPart.jpg	대부 2(The Godfather Part Ⅱ)	1974	movie	청소년관람불가	['드라마', '범죄']	['미국']	['알 파치노', '로버트 듀발', '다이안 키튼', '로버트 드 니로', '존 카제일', '탈리아 샤이어', '리 스트라스버그']	['프란시스 포드 코폴라']	200	['왓챠']
스타워즈_에피소드_4__새로운_희망_StarWarsEpisodeIvANewHope.jpg	스타워즈 에피소드 4 - 새로운 희망(Star Wars : Episode Iv - A New Hope)	1977	movie	전체관람가	['액션', '어드벤처(모험)', '판타지', 'SF']	['미국']	['마크 해밀 ', '해리슨 포드 ', '캐리 피셔', '피터 커싱', '알렉 기네스']	['조지 루카스']	121	['디즈니+']
바람계곡의_나우시카_NausicaaOfTheValleyOfTheWinds.jpg	바람계곡의 나우시카(Nausicaa Of The Valley Of The Winds)	1984	movie	전체관람가	['SF', '애니메이션']	['일본']	['시마모토 스미', '츠지무라 마히토', '쿄다 히사코', '나야 고로', '나가이 이치로', '미야우치 코헤이', '야나미 조지']	['미야자키 하야오']	116	['넷플릭스']
킹스_스피치_TheKingsSpeech.jpg	킹스 스피치(The King's Speech)	2010	movie	12세이상관람가	['드라마']	['영국', '호주']	['콜린 퍼스', '제프리 러쉬', '헬레나 본햄 카터 ', '가이 피어스', '제니퍼 엘', '마이클 갬본', '데릭 제이코비']	['톰 후퍼']	118	['티빙', 'seezn']
