"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%)
"학력1",중졸이하,267,22.1,12.3,9.9,8.8,24.5,16.5,4.2,1.8,505,36.4,14.9,11.0,11.3,16.9,5.8,3.6,0.0,592,36.8,11.5,9.4,11.6,22.0,7.5,1.2,0.0
"학력1",고졸이하,1338,15.2,12.0,8.0,14.2,31.6,15.5,3.1,0.4,2352,29.9,13.1,11.3,18.2,17.9,7.4,2.1,0.0,2739,31.7,15.9,8.4,16.3,19.0,7.2,1.5,-
"학력1",대졸이하,2493,22.5,14.5,8.0,15.0,29.0,8.1,2.5,0.4,3892,37.4,15.9,9.9,12.9,18.1,4.3,1.3,0.2,4138,39.4,14.3,9.4,14.6,16.6,5.0,0.6,-
"학력1",대학원재학이상,93,23.5,9.9,5.4,10.6,34.9,11.8,4.0,0.0,132,28.2,28.1,13.6,5.6,17.9,5.8,0.7,0.0,142,45.6,22.1,5.9,5.3,19.9,0.6,0.6,0.0
"지역",서울,699,22.1,12.2,5.4,9.5,33.6,14.2,2.5,0.5,1482,41.2,13.3,9.8,13.1,16.6,5.4,0.6,0.0,1626,33.4,14.4,9.6,14.0,20.3,8.0,0.4,0.0
"지역",부산,394,17.0,12.7,12.1,20.0,25.1,10.4,2.3,0.5,524,26.6,13.9,3.6,13.1,21.9,18.5,2.4,0.0,556,29.4,17.0,3.3,7.9,22.7,16.1,3.6,0.0
"지역",대구,174,35.3,13.8,3.9,6.7,21.7,11.1,6.3,1.0,335,49.8,17.4,4.1,8.4,12.1,3.8,4.3,0.0,358,45.7,18.4,5.1,10.5,14.7,2.9,2.2,0.4
"지역",인천,245,18.2,6.5,6.3,15.3,42.3,9.9,1.3,0.2,452,51.5,15.2,10.1,11.0,9.7,1.9,0.6,0.0,499,38.6,17.0,18.3,15.3,8.4,1.9,0.5,0.0
"지역",광주,110,17.0,6.0,14.8,24.6,25.3,9.5,2.9,0.0,248,18.1,19.2,15.9,16.3,28.1,2.0,0.4,0.0,263,16.7,11.9,16.7,24.5,26.6,3.2,0.4,0.0
"지역",대전,230,10.7,16.6,18.3,16.6,27.7,6.2,2.4,1.3,213,7.5,12.4,13.6,16.8,45.4,3.8,0.5,0.0,220,28.4,3.2,15.1,16.4,34.5,2.2,0.1,0.0
"지역",울산,150,11.1,15.5,12.0,22.9,22.6,15.0,0.7,0.0,176,34.4,15.1,19.7,19.9,4.8,1.8,4.1,0.0,187,35.9,37.9,9.5,5.4,6.4,2.9,2.0,0.0
"지역",경기,1041,25.7,16.3,4.9,12.1,27.6,10.5,2.1,0.7,1907,37.2,20.5,10.1,12.7,13.9,3.7,1.5,0.4,2227,46.9,16.3,5.6,11.6,15.1,4.1,0.5,0.0
"지역",강원,105,27.2,7.8,9.2,14.0,29.8,7.5,4.5,0.0,181,56.0,16.3,3.3,6.5,10.5,6.4,0.8,0.0,207,53.0,19.6,8.6,6.0,8.9,2.9,1.0,0.0
"지역",충북,250,14.1,2.7,18.5,23.0,27.6,9.3,4.9,0.0,264,10.2,16.9,12.5,26.7,32.8,0.8,0.1,0.0,280,32.7,11.6,12.7,31.1,10.9,1.0,0.0,0.0
"지역",충남,312,18.6,19.0,11.1,13.4,25.6,10.7,1.6,0.0,265,15.6,16.2,18.5,25.6,19.7,1.1,3.3,0.0,306,25.5,13.4,17.5,22.1,18.5,2.9,0.2,0.0
"지역",전북,139,15.5,0.5,4.5,18.2,33.1,10.0,16.2,2.0,262,35.3,13.1,12.7,12.5,25.7,0.8,0.0,0.0,293,26.4,5.8,18.5,20.8,24.7,3.2,0.3,0.3
"지역",전남,45,11.2,20.1,0.0,15.6,26.5,21.6,5.1,0.0,245,8.4,7.7,15.0,25.2,35.4,6.2,2.1,0.0,280,8.3,7.2,13.9,35.3,28.4,4.7,2.0,0.1
"지역",경북,135,53.8,9.5,2.0,5.3,15.3,9.8,3.8,0.5,291,65.6,10.8,3.8,4.0,6.0,2.7,7.1,0.0,318,56.3,13.3,5.2,8.1,9.5,5.2,2.4,0.0
"지역",경남,323,11.5,20.6,10.1,10.3,32.9,13.5,1.1,0.0,427,15.1,6.6,13.6,21.9,23.5,16.1,3.1,0.0,501,20.7,7.8,7.6,21.0,28.5,12.2,2.1,0.0
